trace_name,mag,mag_type,src_lat,src_lon,rcv_lat,rcv_lon,depth_km,dist_km,snr_db,network,station,ps_gap,coda_slope,onset_sharp,n_rho_peaks,log_sp_amp_ratio,pre_p_energy_frac,log_peak_amp,log_p_rms,log_s_rms,log_coda_rms,reduced_amp,det,p_peak,s_peak,p_kern_mean_lag_sec,p_kern_spread_sec,p_kern_entropy,s_kern_mean_lag_sec,s_kern_spread_sec,s_kern_entropy,ps_kern_lag_ratio,mode_shape_only,name_shape_only,mode_shape_plus_kernel,name_shape_plus_kernel,mode_full_interpretable,name_full_interpretable,path_region,src_region,coda_path_residual,log_d,log_depth,snr_z,mag_pred_site,mag_resid_site,mag_pred_stratified,mag_resid_stratified,shape,strength,tax2d
B082.PB_20180129213550_EV,0.61,ml,33.59867,-116.69533,33.598182,-116.596005,14.17,9.22,16.56666692,PB,B082,2.102628285356696,-0.19524721563364,0.6816217523559274,1.0,-0.019325212307553,0.0122338898392851,2.5262285798132758,0.7676789948903644,1.4941071235175676,0.7129483354961657,3.4909595008669045,0.9999992847442628,0.9944528937339784,0.9903784990310668,1.038583814286506,1.4989420499945447,0.7133554107500201,0.5825911297594585,0.7731249941563738,0.5836355356380744,0.5609476305575696,5,standard_mid_midR,3,impulsive_fastQ_mid_near,3,standard_mid_near,+30/-120,+30/-120,0.05234602140279232,1.0094508957986938,1.1809855807867304,16.56666692,0.41617861938932144,0.19382138061067855,0.5796291491629186,0.030370850837081353,multipath,weak,multipath×weak
NCT.AV_20170726082917_EV,1.8,ml,59.8346,-152.9912,60.5621,-152.9293,100.5,81.13,15.866666793333335,AV,NCT,13.667083854818523,-0.1112512807638762,0.8328957299369294,2.0,-0.0778223876819729,0.0442804203261645,2.9334155764687475,2.2000036929571536,2.378558521192436,2.109612551551978,4.8425970524466,0.9999961853027344,0.9849621057510376,0.9490827322006226,0.8446348150005122,1.1303803967217487,0.7519958121977204,0.5825924324193865,0.7731333707227434,0.540852064798926,0.689756593113005,1,standard_mid_midR,5,multipath_strong_far,4,multipath_mid_midR,+60/-155,+55/-155,-0.014604707170107381,1.914501822827314,2.0064660422492318,15.866666793333335,2.0489587786506034,-0.24895877865060334,1.7487095598381996,0.0512904401618004,multipath,mid,multipath×mid
PRN.NN_20150523160857_EV,1.18,ml,37.3418,-114.6523,37.4065,-115.0512,3.8,36.05,26.59999974666667,NN,PRN,4.280350438047558,-0.0788030347392508,0.8967082428858353,0.0,-0.0673723058176515,0.0017838691747828,2.977707393721499,1.690101957214314,2.227771211324928,2.236578696386796,4.534612662776947,0.999998927116394,0.9922506213188172,0.9008389711380004,1.080274142289093,1.5955307346290772,0.7025609289110569,0.5825924322331235,0.7731333691493494,0.5530935138316201,0.5393005436551638,3,multipath_strong_far,1,multipath_strong_far,4,multipath_mid_midR,+35/-115,+35/-115,0.07550252185210987,1.568788212315347,0.6812412373755872,26.59999974666667,1.0921989013740612,0.08780109862593877,1.2890314965987197,-0.1090314965987198,slow_coda,mid,slow_coda×mid
GDXB.NC_20160402115221_EV,0.92,md,38.79683,-122.73333,38.807968,-122.795303,3.32,5.52,23.666666666666668,NC,GDXB,0.9762202753441808,-0.3642978023940472,0.8544302626183795,0.0,-0.0884820512993987,0.0522737613263645,3.931934317287326,3.129320193958928,3.3294368180591563,2.6234390742638527,4.673873395016525,0.9999880790710448,0.9968132376670836,0.8847939968109131,1.038583815656977,1.4989420520856631,0.7133554109772942,0.5825787410813047,0.7730546631065873,0.5979901384969043,0.5609357013836989,1,standard_mid_midR,4,emergent_weak_midR,3,standard_mid_near,+35/-125,+35/-125,-0.08414806941012798,0.8142475957319202,0.6354837468149122,23.666666666666668,0.8550216491502687,0.06497835084973136,0.811921580420928,0.10807841957907205,standard,mid,standard×mid
BOR.CI_20150306080351_EV,1.22,ml,33.40583,-116.33267,33.2682,-116.41716,14.01,17.17,7.899999936666667,CI,BOR,2.4780976220275344,-0.1909480901667658,0.4871477240694961,0.0,0.0064623030521314,0.0361464687126114,3.151061269050809,2.143749800889952,2.5131857214966984,2.191553864076265,4.385831564211726,0.9985935091972352,0.8543885350227356,0.9478588700294496,0.8446369023761974,1.1303805972538066,0.7519966986234091,0.5824254999036311,0.7723252273426381,0.6216125945133775,0.6895572502990421,1,standard_mid_midR,4,emergent_weak_midR,5,standard_mid_near,+30/-120,+30/-120,0.014965525744862845,1.2593549273080344,1.1763806922432705,7.899999936666667,0.6858900478209095,0.5341099521790905,0.6536203706551651,0.5663796293448349,emergent,mid,emergent×mid
W39A.TA_20141005150454_EV,2.1,md,35.36817,-92.67367,35.196,-93.784,8.9,102.8,13.066666443333332,TA,W39A,12.240300375469335,-0.0312950405200435,0.1878432810243668,1.0,-0.0361766858183649,0.0311348719066214,2.3453153568746528,1.160894810636202,1.6033676560436545,1.6453019740360035,4.357308471533909,0.9999613761901855,0.9684578776359558,0.8795686364173889,1.038583778515073,1.4989420396821749,0.713355401549261,0.5825924324193842,0.7731333707227264,0.5408520647989252,0.5609489041436332,0,multipath_mid_far,2,multipath_weak_midR,2,multipath_mid_far,+35/-95,+35/-95,0.048390497417590196,2.016197353512439,0.9956351945975499,13.066666443333332,1.6898646379204787,0.4101353620795214,1.578859271741147,0.5211407282588532,multipath,mid,multipath×mid
B084.PB_20160119122228_EV,0.41,ml,33.47683,-116.56133,33.61157,-116.45637,7.85,17.84,20.266667046666665,PB,B084,2.403003754693366,-0.2007966954165148,0.6637271567844174,1.0,-0.0646357193095415,0.0289005578913023,2.0386426367358177,0.7909713416521531,1.2210151393086357,0.6298426991648073,3.2900374867759217,0.9999905824661256,0.9923794269561768,0.9866330623626708,0.7060927054286182,0.8920554665967495,0.7605443383349391,0.581225953266882,0.7675507113149638,0.6439513629632131,0.8231581332001743,1,standard_mid_midR,0,standard_mid_midR,0,standard_mid_midR,+30/-120,+30/-120,0.0024941035867836747,1.2750808984568585,0.9469432706978254,20.266667046666665,0.3794555735405659,0.03054442645943406,0.5212846951773312,-0.11128469517733125,multipath,weak,multipath×weak
AIND.HV_20170913221322_EV,1.67,md,19.3035,-155.21367,19.372067,-155.457228,2.2,26.69,37.43333180333334,HV,AIND,5.331664580725907,-0.286313811913656,0.9795479240929896,1.0,0.031235267517952,0.0002099159650469,5.193344517342518,3.348448875223159,4.344012717496714,3.654938772089476,6.619693091130026,0.9999916553497314,0.9880188703536988,0.8696154356002808,0.9394975026468362,1.2987800679108,0.7413978305714394,0.5825923696869144,0.7731329208153668,0.5706069477016835,0.6201106102417338,2,impulsive_fastQ_mid_near,1,multipath_strong_far,1,multipath_strong_far,+15/-160,+15/-160,-0.11091606266160117,1.4423229557455746,0.505149978319906,37.43333180333334,2.8327142415161535,-1.1627142415161535,2.263532250711821,-0.5935322507118213,multipath,strong,multipath×strong
GDXB.NC_20070712082147_EV,1.35,md,38.8371667,-122.751,38.807968,-122.795303,-0.55,5.03,41.16666539333334,NC,GDXB,0.8260325406758442,-0.5096421853117437,0.7373684402806417,0.0,0.140942432849581,0.021460798977542,5.049887578794064,3.898597771202277,4.2589091692029255,3.259256099387668,5.751455563849992,0.9999830722808838,0.997000515460968,0.9925786852836608,0.939497501104364,1.2987800651225845,0.7413978303271411,0.5819923808453519,0.7705100930169516,0.6344641098859265,0.6194719838650229,2,impulsive_fastQ_mid_near,3,impulsive_fastQ_mid_near,3,standard_mid_near,+35/-125,+35/-125,-0.22383347453454622,0.7803173121401513,0.0,41.16666539333334,1.6141439249704248,-0.2641439249704247,1.174702625754321,0.17529737424567915,standard,strong,standard×strong
VCN.NN_20140123031318_EV,1.5,ml,39.4234,-119.5687,39.295601,-119.650299,10.3,15.84,29.59999974333333,NN,VCN,2.4030037546933656,-0.2751121250768331,0.7568092921648619,0.0,0.0540132030883702,0.0020438111204749,4.273242238639153,2.663830016218731,3.4768664465565493,2.923575496915287,5.472997415892627,0.9999996423721312,0.993876039981842,0.9898316860198976,1.080274138727416,1.595530726149657,0.7025609284849736,0.5825923814606143,0.773133002870574,0.5698572531690919,0.5393004984335916,2,impulsive_fastQ_mid_near,1,multipath_strong_far,4,multipath_mid_midR,+35/-120,+35/-120,-0.06369254489099052,1.2263420871636308,1.0530784434834197,29.59999974333333,1.5186201273608535,-0.0186201273608535,1.5670492467546946,-0.06704924675469459,standard,strong,standard×strong
